id,lengthGroupId,callSign,name,registrationId,length,width,owners,engineBuildingYear,enginePower,buildingYear,auxiliaryEnginePower,auxiliaryEngineBuildingYear,boilerEnginePower,boilerEngineBuildingYear,engineType,engineRpm,degreeOfElectrification,serviceSpeed
1998003464,TwentyEightAndAbove,,LØNNINGEN,H 0200B,41.72,,[],1987,1467,1967,,,,,,,,
1997006292,TwentyEightAndAbove,LIJF,ANDENESFISK I,N 0080A,54.2,,[],1996,3600,1996,,,,,,,,
2002018602,TwentyEightAndAbove,LLXW,BRENNHOLM,H 0039BN,64.0,,[],2002,4700,2002,,,,,,,,
2019112253,TwentyEightAndAbove,LGFQ,GERDA MARIE,H 0365AV,78.75,15.5,"[{'city': 'TORANGSVÅG', 'entityType': 'COMPANY', 'id': 986996257, 'name': 'GERDA MARIE AS', 'postalCode': 5384}]",2016,7020,2015,,,,,,,,
1989003953,FifteenToTwentyOne,LK3781,MARILENA MI,M 0134F,19.01,5.8,"[{'city': 'AUREOSEN', 'entityType': 'COMPANY', 'id': 997306678, 'name': 'VÅGØY AS', 'postalCode': 6408}]",1989,400,1989,,,,,,,,
1970005133,UnderEleven,,ROLF,N 0010H,8.2,,[],1983,30,1970,,,,,,,,
2003022205,Unknown,LMFZ,,,,,[],2002,6120,2003,,,,,,,,
1960007734,FifteenToTwentyOne,LCHT,LOFOTVÆRING,N 0366V,20.82,,[],1996,600,1952,,,,,,,,
1987011783,FifteenToTwentyOne,LJNL,ÅRVIKSAND,T 0221T,20.96,5.49,"[{'city': 'TROMSØ', 'entityType': 'COMPANY', 'id': 816120322, 'name': 'JOHN AS', 'postalCode': 9010}]",1991,538,1980,,,,,,,,
2024125317,UnderEleven,,VÅGABAS,R 0013TV,5.05,1.85,"[{'city': 'SKJOLDASTRAUMEN', 'entityType': 'COMPANY', 'id': 930715670, 'name': 'JOHANNES ØRKE NES', 'postalCode': 5567}]",2023,40,2000,,,,,,,,
2000013296,TwentyEightAndAbove,LNXT,STRAUMBERG,N 0041V,53.55,8.53,"[{'city': 'SVOLVÆR', 'entityType': 'COMPANY', 'id': 917364435, 'name': 'STRAUMBERG DRIFT AS', 'postalCode': 8300}]",1967,1100,1968,,,,,,,,
2000013803,TwentyTwoToTwentyEight,LLHL,ANDOPSVÆRING,F 0043BD,21.3,7.2,"[{'city': 'BÅTSFJORD', 'entityType': 'COMPANY', 'id': 932217678, 'name': 'ANDOPSVÆRING AS', 'postalCode': 9990}]",2000,720,2000,,,,,,,,
